g,i,x,y
0,0.5,0.2939,
0,0.5,0.3976,0.0139
0,0.5,0.5163,0.0124
0,0.5,1.1,0.0065
0,0.999,0.2939,
0,0.999,0.3976,0.119
0,0.999,0.5163,
0,0.999,1.1,0.0254
1,0.5,0.4568,0.0162
1,0.5,0.5597,0.0122
1,0.5,0.6571,0.012
1,0.5,1.1,0.01
1,0.999,0.4568,
1,0.999,0.5597,0.175
1,0.999,0.6571,
1,0.999,1.1,0.056
2,0.5,0.3,0.032
2,0.5,0.4769,0.0167
2,0.5,0.5817,0.013
2,0.5,0.6878,0.0128
2,0.5,1.1,0.013
2,0.999,0.3,0.9
2,0.999,0.4769,0.47
2,0.999,0.5817,0.2682
2,0.999,0.6878,0.1867
2,0.999,1.1,0.0571
